ID,Name,Address,Lat,Long,Description,Amenities,Image,Rent,Ratings
19,Studio Apartment,"An der Lehnerzer Strasse, 36039 Fulda Lehnerz",50.5747702,9.6961281,1 room apartment for students,"Wifi, washing machine, bathtub",https://rb.gy/8rarv,435,4.5/5.0
22,Studio Apartment,"Leipziger Strasse 141, Fulda Ziehers-Nord",50.5673982,9.6879416,1-room apartment in a student residence near the university for temporary rent,"Wifi, washing machine, dryer",https://rb.gy/8rarv,390,4.0/5.0
24,Studio Apartment,"Kurfurstenstrasse 5-7, 36037 Fulda Landkreis",50.5583047,9.6764314,1 room apartment in CUBE for Rent 2 months (Without city registration),"Wifi, washing machine, bathtub, dryer, dish washer, TV",https://rb.gy/8rarv,436,4.9/5.0
