ID,Name,Address,Lat,Long,Description,Amenities,Image,Rent,Ratings
5,Student Dorm,"Leipziger Str. 139 - 141/Daimler-Benz-Str. 6, 36037 Fulda Nordend",50.56771,9.690038,18m sqr. single room apartment,"Wifi, bike parking, TV, washing machine",https://rb.gy/5qcuk,452,4.5/5.0
6,Student Dorm,"Leipziger Strasse 54, 36037 Fulda city cente",50.561416,9.68353,22m sqr. single room apartment,"Wifi, balcony, Cellar",https://rb.gy/5qcuk,350,3.9/5.0
17,Student Dorm,"Leipziger Str. 139 - 141/Daimler-Benz-Str. 6, 36037 Fulda Nordend",50.56771,9.690038,Apartments opposite FH Fulda - only for students and trainees - CURRENTLY NO APP. MORE AVAILABLE,"Wifi, garden, parking, washing machine",https://rb.gy/5qcuk,452,4.6/5.0
18,Student Dorm,"Heinrich von Bibra Platz 3, 36037 Fulda city center",50.55526,9.679451,student rooms close to the city; Near tenant wanted,"Wifi, parking, Cellar, common washing machine",https://rb.gy/5qcuk,370,4.0/5.0
20,Student Dorm,"Wiesenmuehlenstr. 7, 36037 Fulda city center",50.551655,9.669097,Interim rental near Fulda Cathedral,"Wifi, balcony",https://rb.gy/5qcuk,350,3.7/5.0
21,Student Dorm,"Daimler-Benz-Strasse 5, 2.09, 36039 Fulda",50.5665,9.68946,Quiet room near the college,"Wifi, balcony, dish washer",https://rb.gy/5qcuk,400,4.0/5.0
23,Student Dorm,"Baugulfstr. 5, 36037 Fulda city center",50.552976,9.693819,"Bright, friendly apartment in a great location STUDENTS ONLY","Wifi, balcony, dish washer",https://rb.gy/5qcuk,460,3.8/5.0
